2024-03-11 18:51:47.066 INFO  (qtp693267461-75-null-28) [c: s: r: x:geotaste t:null-28] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710182961160} status=0 QTime=0
2024-03-11 18:51:47.068 INFO  (qtp693267461-76-null-27) [c: s: r: x: t:null-27] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710182961134} status=0 QTime=2
2024-03-11 18:51:47.103 INFO  (qtp693267461-56-null-29) [c: s: r: x:geotaste t:null-29] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1710182961160} hits=0 status=0 QTime=12
2024-03-11 18:51:55.357 INFO  (qtp693267461-76-null-30) [c: s: r: x:geotaste t:null-30] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=} hits=0 status=0 QTime=1
2024-03-11 18:53:15.228 INFO  (qtp693267461-32-null-34) [c: s: r: x: t:null-34] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183195209} status=0 QTime=0
2024-03-11 18:53:15.230 INFO  (qtp693267461-30-null-33) [c: s: r: x: t:null-33] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183195209} status=0 QTime=2
2024-03-11 18:53:15.240 INFO  (qtp693267461-54-null-35) [c: s: r: x:geotaste-restaurants t:null-35] o.a.s.c.S.Request webapp=/solr path=/admin/file params={wt=json&_=1710183195225} status=0 QTime=12
2024-03-11 18:53:15.337 INFO  (qtp693267461-57-null-36) [c: s: r: x:geotaste-restaurants t:null-36] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=lang&wt=json&_=1710183195225} status=0 QTime=92
2024-03-11 18:53:16.960 INFO  (qtp693267461-30-null-38) [c: s: r: x: t:null-38] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183195209} status=0 QTime=0
2024-03-11 18:53:16.961 INFO  (qtp693267461-76-null-39) [c: s: r: x:geotaste t:null-39] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1710183196956} status=0 QTime=0
2024-03-11 18:53:16.962 INFO  (qtp693267461-56-null-37) [c: s: r: x: t:null-37] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183195209} status=0 QTime=2
